"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Главная страница","14","0","","0"
"0","","0","Личный кабинет пользователя","6","0","","0"
"0","","0","Восстановление пароля","6","0","","0"
"0","","0","Лента заказов","10","0","","0"
